add-yield-m,4,10,80,245711,3071,0
add-yield-m,4,20,160,29536573,184603,0
add-yield-m,4,40,320,2721437,8504,0
add-yield-m,4,80,640,23185612,36227,0
add-yield-m,4,100,800,29252143,36565,0
add-yield-m,4,1000,8000,32706712,4088,0
add-yield-m,4,10000,80000,65388736,817,0
add-yield-m,4,100000,800000,650371131,812,0
add-yield-m,8,10,160,577811,3611,0
add-yield-m,8,20,320,611699,1911,0
add-yield-m,8,40,640,851295,1330,0
add-yield-m,8,80,1280,1453924,1135,0
add-yield-m,8,100,1600,11163294,6977,0
add-yield-m,8,1000,16000,14725852,920,0
add-yield-m,8,10000,160000,141269890,882,0
add-yield-m,8,100000,1600000,1354111112,846,0
add-yield-m,12,10,240,819158,3413,0
add-yield-m,12,20,480,1741921,3629,0
add-yield-m,12,40,960,4995898,5204,0
add-yield-m,12,80,1920,2123800,1106,0
add-yield-m,12,100,2400,2341708,975,0
add-yield-m,12,1000,24000,19669997,819,0
add-yield-m,12,10000,240000,195046530,812,0
add-yield-m,12,100000,2400000,1942747755,809,0
add-yield-s,1,10,20,147258,7362,0
add-yield-s,1,20,40,168529,4213,0
add-yield-s,1,40,80,193357,2416,0
add-yield-s,1,80,160,255184,1594,0
add-yield-s,1,100,200,284975,1424,0
add-yield-s,1,1000,2000,1791242,895,0
add-yield-s,1,10000,20000,20364746,1018,0
add-yield-s,1,100000,200000,189385228,946,0
add-yield-s,2,10,40,183824,4595,0
add-yield-s,2,20,80,215181,2689,0
add-yield-s,2,40,160,286263,1789,0
add-yield-s,2,80,320,401284,1254,0
add-yield-s,2,100,400,472210,1180,0
add-yield-s,2,1000,4000,3357407,839,0
add-yield-s,2,10000,40000,32178758,804,0
add-yield-s,2,100000,400000,320334727,800,0
add-yield-s,4,10,80,3605721,45071,0
add-yield-s,4,20,160,316498,1978,0
add-yield-s,4,40,320,1875234,5860,0
add-yield-s,4,80,640,2378900,3717,0
add-yield-s,4,100,800,5684652,7105,0
add-yield-s,4,1000,8000,6638617,829,0
add-yield-s,4,10000,80000,86222014,1077,0
add-yield-s,4,100000,800000,654455551,818,0
add-yield-s,8,10,160,24809175,155057,0
add-yield-s,8,20,320,34187499,106835,0
add-yield-s,8,40,640,1196355,1869,0
add-yield-s,8,80,1280,3153030,2463,0
add-yield-s,8,100,1600,56141150,35088,0
add-yield-s,8,1000,16000,63299332,3956,0
add-yield-s,8,10000,160000,215098370,1344,0
add-yield-s,8,100000,1600000,1543320949,964,0
add-yield-s,12,10,240,7711909,32132,0
add-yield-s,12,20,480,1172374,2442,0
add-yield-s,12,40,960,1222610,1273,0
add-yield-s,12,80,1920,32160680,16750,0
add-yield-s,12,100,2400,2303583,959,0
add-yield-s,12,1000,24000,49750789,2072,0
add-yield-s,12,10000,240000,305131020,1271,0
add-yield-s,12,100000,2400000,-1542253974,1146,0
add-yield-c,1,10,20,140826,7041,0
add-yield-c,1,20,40,156847,3921,0
add-yield-c,1,40,80,186344,2329,0
add-yield-c,1,80,160,253024,1581,0
add-yield-c,1,100,200,285565,1427,0
add-yield-c,1,1000,2000,1735866,867,0
add-yield-c,1,10000,20000,16194642,809,0
add-yield-c,1,100000,200000,167209589,836,0
add-yield-c,2,10,40,166506,4162,0
add-yield-c,2,20,80,194221,2427,0
add-yield-c,2,40,160,260914,1630,0
add-yield-c,2,80,320,394643,1233,0
add-yield-c,2,100,400,468205,1170,0
add-yield-c,2,1000,4000,3545201,886,0
add-yield-c,2,10000,40000,34279597,856,0
add-yield-c,2,100000,400000,345112295,862,0
add-yield-c,4,10,80,249205,3115,0
add-yield-c,4,20,160,37187319,232420,0
add-yield-c,4,40,320,13751405,42973,0
add-yield-c,4,80,640,28383584,44349,0
add-yield-c,4,100,800,11881870,14852,0
add-yield-c,4,1000,8000,7052185,881,0
add-yield-c,4,10000,80000,72730203,909,0
add-yield-c,4,100000,800000,727589186,909,0
add-yield-c,8,10,160,2321352,14508,0
add-yield-c,8,20,320,4168278,13025,0
add-yield-c,8,40,640,1017804,1590,0
add-yield-c,8,80,1280,4814045,3760,0
add-yield-c,8,100,1600,1728430,1080,0
add-yield-c,8,1000,16000,14870343,929,0
add-yield-c,8,10000,160000,147463490,921,0
add-yield-c,8,100000,1600000,1473490712,920,0
add-yield-c,12,10,240,1861954,7758,0
add-yield-c,12,20,480,2481003,5168,0
add-yield-c,12,40,960,23295629,24266,0
add-yield-c,12,80,1920,30445709,15857,0
add-yield-c,12,100,2400,16293300,6788,0
add-yield-c,12,1000,24000,27861280,1160,0
add-yield-c,12,10000,240000,230229703,959,0
add-yield-c,12,100000,2400000,-2008388090,952,0
